date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:20	25438/25438	---M--	200	added ('OK')	text/plain	etag:%22635e-5264eb548f828%22	http://www.markusbrunner.de/robots.txt		(from )
13:00:21	13445/13445	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:20%20GMT	http://www.markusbrunner.de/	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/index.html	(from )
13:00:21	1406/1406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2257e-5264ebd479b8b%22	http://www.markusbrunner.de/fileadmin/templates/default/images/favicon.ico	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/images/favicon.ico	(from http://www.markusbrunner.de/)
13:00:21	1010/1010	---M--	200	added ('OK')	image/png	etag:%223f2-5264ebd4866ad%22	http://www.markusbrunner.de/fileadmin/templates/default/images/favicon.png	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/images/favicon.png	(from http://www.markusbrunner.de/)
13:00:21	10429/10429	---M--	200	added ('OK')	text/css	etag:%2228bd-5265d241b100c%22	http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-4c9f7cc1ddb166530404d4f0d450eb83.merged.css	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-4c9f7cc1ddb166530404d4f0d450eb83.merged.css	(from http://www.markusbrunner.de/)
13:00:21	30037/30037	---M--	200	added ('OK')	text/css	etag:%227555-5265d241b9cad%22	http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css	(from http://www.markusbrunner.de/)
13:00:22	593/593	---M--	200	added ('OK')	text/css	etag:%22251-5264ed2033817%22	http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-ef0d2f4285f849b4dc2bcfbdd4bd7a00.merged.css	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-ef0d2f4285f849b4dc2bcfbdd4bd7a00.merged.css	(from http://www.markusbrunner.de/)
13:00:22	918/918	---M--	200	added ('OK')	application/javascript	etag:%22396-5264ed20c504b%22	http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/javascript_8d985c2683-8d985c268348b0a5e7510e3e50191b3c.min.js	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/javascript_8d985c2683-8d985c268348b0a5e7510e3e50191b3c.min.js	(from http://www.markusbrunner.de/)
13:00:23	589/589	---M--	200	added ('OK')	application/javascript	etag:%2224d-5264ed20b2769%22	http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/default-423206d4649d58d631b7d6ea23398094.min.js	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/default-423206d4649d58d631b7d6ea23398094.min.js	(from http://www.markusbrunner.de/)
13:00:25	17288/17288	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:23%20GMT	http://www.markusbrunner.de/medialex.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/medialex.html	(from http://www.markusbrunner.de/)
13:00:26	13250/13250	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:24%20GMT	http://www.markusbrunner.de/projekte.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/projekte.html	(from http://www.markusbrunner.de/)
13:00:27	14456/14456	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:26%20GMT	http://www.markusbrunner.de/fotografie.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fotografie.html	(from http://www.markusbrunner.de/)
13:00:28	11164/11164	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:27%20GMT	http://www.markusbrunner.de/audiografie.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/audiografie.html	(from http://www.markusbrunner.de/)
13:00:28	9808/9808	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:27%20GMT	http://www.markusbrunner.de/videografie.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/videografie.html	(from http://www.markusbrunner.de/)
13:00:29	85924/85924	---M--	200	added ('OK')	application/javascript	etag:%2214fa4-5264ebd4bc214%22	http://www.markusbrunner.de/fileadmin/templates/default/js/jquery-1.5.2.min.js	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/js/jquery-1.5.2.min.js	(from http://www.markusbrunner.de/)
13:00:29	19220/19220	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:28%20GMT	http://www.markusbrunner.de/news.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/news.html	(from http://www.markusbrunner.de/)
13:00:29	2958/2958	---M--	200	added ('OK')	image/jpeg	etag:%22b8e-5265d23f9bc83%22	http://www.markusbrunner.de/typo3temp/pics/3f8220ee73.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/3f8220ee73.jpg	(from http://www.markusbrunner.de/)
13:00:30	3865/3865	---M--	200	added ('OK')	image/jpeg	etag:%22f19-5265d23fedd0e%22	http://www.markusbrunner.de/typo3temp/pics/b6ceb3a54a.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/b6ceb3a54a.jpg	(from http://www.markusbrunner.de/)
13:00:30	6479/6479	---M--	200	added ('OK')	image/jpeg	etag:%22194f-5265d23fb81a7%22	http://www.markusbrunner.de/typo3temp/pics/5f2e2497b8.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/5f2e2497b8.jpg	(from http://www.markusbrunner.de/)
13:00:30	6946/6946	---M--	200	added ('OK')	image/jpeg	etag:%221b22-5265d24020995%22	http://www.markusbrunner.de/typo3temp/pics/bd2e1d1e59.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/bd2e1d1e59.jpg	(from http://www.markusbrunner.de/)
13:00:31	5629/5629	---M--	200	added ('OK')	image/jpeg	etag:%2215fd-5265d24064f5f%22	http://www.markusbrunner.de/typo3temp/pics/d28293f911.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/d28293f911.jpg	(from http://www.markusbrunner.de/)
13:00:31	10757/10757	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:31%20GMT	http://www.markusbrunner.de/impressum.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/impressum.html	(from http://www.markusbrunner.de/)
13:00:31	65431/65431	---M--	200	added ('OK')	image/jpeg	etag:%22ff97-5265d23f27913%22	http://www.markusbrunner.de/typo3temp/pics/fa943ebf05.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/fa943ebf05.jpg	(from http://www.markusbrunner.de/)
13:00:31	9349/9349	---M--	200	added ('OK')	image/jpeg	etag:%222485-5265d24041cda%22	http://www.markusbrunner.de/typo3temp/pics/ef0bf6513f.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/ef0bf6513f.jpg	(from http://www.markusbrunner.de/)
13:00:32	10004/10004	---M--	200	added ('OK')	image/jpeg	etag:%222714-5265d24092dc5%22	http://www.markusbrunner.de/typo3temp/pics/c3f11b0aa9.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/c3f11b0aa9.jpg	(from http://www.markusbrunner.de/)
13:00:32	13216/13216	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:31%20GMT	http://www.markusbrunner.de/ueber-mich/steckbrief.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/ueber-mich/steckbrief.html	(from http://www.markusbrunner.de/)
13:00:32	5123/5123	---M--	200	added ('OK')	image/jpeg	etag:%221403-5265d240c3b0c%22	http://www.markusbrunner.de/typo3temp/pics/25c9266888.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/25c9266888.jpg	(from http://www.markusbrunner.de/)
13:00:33	9978/9978	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:32%20GMT	http://www.markusbrunner.de/programmierung.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/programmierung.html	(from http://www.markusbrunner.de/)
13:00:33	3487/3487	---M--	200	added ('OK')	image/jpeg	etag:%22d9f-5265d240f6793%22	http://www.markusbrunner.de/typo3temp/pics/3c2dbc3d0d.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/3c2dbc3d0d.jpg	(from http://www.markusbrunner.de/)
13:00:34	13472/13472	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:33%20GMT	http://www.markusbrunner.de/kontakt.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/kontakt.html	(from http://www.markusbrunner.de/)
13:00:35	17280/17280	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:34%20GMT	http://www.markusbrunner.de/datenschutz.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/datenschutz.html	(from http://www.markusbrunner.de/)
13:00:36	20955/20955	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:35%20GMT	http://www.markusbrunner.de/sitemap.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/sitemap.html	(from http://www.markusbrunner.de/)
